City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Cherskiy,RU,68.75,161.3,-34.64,99,9,3.8,clear sky
129,Mount Gambier,AU,-37.8333,140.7667,53.51,94,12,8.05,few clouds
130,Kapuskasing,CA,49.4169,-82.4331,-9.4,59,75,2.3,broken clouds
131,Ghanzi,BW,-21.5667,21.7833,77.34,58,46,6.76,light rain
132,Port Alfred,ZA,-33.5906,26.891,68.4,79,100,8.86,light rain
133,Tiznit,MA,29.5833,-9.5,68.94,31,90,7.96,overcast clouds
134,Najran,SA,17.4924,44.1277,75.85,40,44,4.72,scattered clouds
135,Kashi,CN,39.4547,75.9797,27.61,36,0,6.71,clear sky
136,Kahului,US,20.8947,-156.47,68.85,79,0,5.75,clear sky
137,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,9.22,few clouds
138,Korenovsk,RU,45.4686,39.4519,33.75,91,100,11.92,light snow
139,Virginia Beach,US,36.8529,-75.978,72.05,82,100,12.66,overcast clouds
140,Sioux Lookout,CA,50.1001,-91.917,-9.02,70,0,3.44,clear sky
141,Acapulco,MX,16.8634,-99.8901,80.42,69,0,3.44,clear sky
142,Pogar,RU,52.554,33.2591,6.57,99,94,4.47,overcast clouds
143,Coihaique,CL,-45.5752,-72.0662,66.81,45,20,8.05,few clouds
144,East London,ZA,-33.0153,27.9116,65.34,100,75,8.05,light rain
145,Hermanus,ZA,-34.4187,19.2345,76.89,56,7,21.61,clear sky
146,Sindor,RU,62.8629,51.8905,-4.77,100,94,1.59,overcast clouds
147,Shingu,JP,33.7333,135.9833,41.92,64,2,11.59,clear sky
148,Tagusao,PH,9.1924,117.8141,78.39,84,85,8.75,overcast clouds
149,Slidell,US,30.2752,-89.7812,39.99,89,100,1.01,overcast clouds
150,Morant Bay,JM,17.8815,-76.4093,85.62,70,9,11.95,clear sky
151,Rovaniemi,FI,66.5,25.7167,13.41,85,100,17.27,light snow
152,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,100,28.68,moderate rain
153,Igrim,RU,63.1906,64.4162,-7.96,100,72,3.36,broken clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,40,17.27,scattered clouds
155,Joshimath,IN,30.5667,79.5667,28.13,73,62,8.72,broken clouds
156,Geraldton,AU,-28.7667,114.6,72.01,60,0,3.44,clear sky
157,Camacupa,AO,-12.0167,17.4833,61.77,96,100,4.36,light rain
158,Tiksi,RU,71.6872,128.8694,-20.56,98,99,7.38,overcast clouds
159,Puerto Escondido,MX,15.85,-97.0667,83.23,78,0,5.75,clear sky
160,Strezhevoy,RU,60.7333,77.5889,24.78,95,100,8.79,overcast clouds
161,Chokurdakh,RU,70.6333,147.9167,-30.73,100,61,1.52,broken clouds
162,Batemans Bay,AU,-35.7167,150.1833,63.1,86,98,7.99,light rain
163,Taksimo,RU,56.3444,114.8794,-9.99,92,84,3.33,broken clouds
164,Cascais,PT,38.6979,-9.4215,61.5,66,20,1.01,few clouds
165,Delijan,IR,33.9905,50.6838,50.63,54,0,4.97,clear sky
166,Nevesinje,BA,43.2586,18.1133,41.86,86,12,4.68,few clouds
167,Egvekinot,RU,66.3167,-179.1667,-1.66,62,0,15.7,clear sky
168,Piacabucu,BR,-10.4056,-36.4344,86.23,57,15,13.96,few clouds
169,Klyuchi,RU,52.2667,79.1667,3.92,87,47,8.63,scattered clouds
170,Aklavik,CA,68.2191,-135.0107,-21.28,75,0,9.22,clear sky
171,Tasiilaq,GL,65.6145,-37.6368,17.76,67,100,38.36,overcast clouds
172,Udachnyy,RU,66.4167,112.4,-28.62,100,91,2.35,overcast clouds
173,Oyama,JP,36.3,139.8,40.59,47,0,4.99,clear sky
